Rule	Conda environment	Docker container
get_fastq_SRA	workflow/envs/ucsc_bedgraph_to_bigwig.yaml	quay.io/biocontainers/sra-tools:3.1.1--h4304569_0
deinterleave	None	busybox:1.37.0-glibc
bam2fastq	workflow/envs/samtools.yaml	quay.io/biocontainers/samtools:1.20--h50ea8bc_0
fastp	workflow/envs/fastp.yaml	quay.io/biocontainers/fastp:0.23.4--h125f33a_5
star	workflow/envs/star.yaml	quay.io/biocontainers/star:2.7.11b--h43eeafb_2
bedGraphToBigWig	workflow/envs/ucsc_bedgraph_to_bigwig.yaml	quay.io/biocontainers/ucsc-bedgraphtobigwig:472--h9b8f530_1
qualimap	workflow/envs/qualimap.yaml	quay.io/biocontainers/qualimap:2.3--hdfd78af_0
insert_size	workflow/envs/rseqc.yaml	quay.io/biocontainers/rseqc:5.0.4--pyhdfd78af_0
salmon	workflow/envs/salmon.yaml	quay.io/biocontainers/salmon:1.10.3--h6dccd9a_2
samtools_index	workflow/envs/samtools.yaml	quay.io/biocontainers/samtools:1.20--h50ea8bc_0
fraser	workflow/envs/fraser.yaml	quay.io/biocontainers/bioconductor-fraser:1.99.4--r43hf17093f_0
parse_junctions	workflow/envs/R.yaml	tronbioinformatics/splice2neo:0.6.12
calculate_junction_cpm	workflow/envs/python.yaml	None
filter_mappability	workflow/envs/R.yaml	tronbioinformatics/splice2neo:0.6.12
add_context_sequence	workflow/envs/R.yaml	tronbioinformatics/splice2neo:0.6.12
add_transcript_expression	workflow/envs/R.yaml	tronbioinformatics/splice2neo:0.6.12
prepare_requant	workflow/envs/R.yaml	tronbioinformatics/splice2neo:0.6.12
generate_context_fa	workflow/envs/easyquant.yaml	tronbioinformatics/easyquant:0.6.0
bowtie_index	workflow/envs/easyquant.yaml	tronbioinformatics/easyquant:0.6.0
bowtie_align	workflow/envs/easyquant.yaml	tronbioinformatics/easyquant:0.6.0
requantify	workflow/envs/easyquant.yaml	tronbioinformatics/easyquant:0.6.0
add_quant_counts	workflow/envs/R.yaml	tronbioinformatics/splice2neo:0.6.12
translate_to_peptide	workflow/envs/R.yaml	tronbioinformatics/splice2neo:0.6.12
find_cts_matching_wt	workflow/envs/blast.yaml	None
